name,elat,pl_radj,pl_bmassj,pl_eqt,pl_orbincl,pl_orbeccen,pl_orbsmax,pl_orbper,st_rad,st_mass,st_teff,sy_dist,st_met,pl_trandur,ra,dec,logg,hostname,sy_jmag,sy_kmag,u1,u2,u1_std,u2_std
EPIC 248847494 b,2.9375,1.11,13,183,89.87,0,4.5,3650,2.7,0.9,4898,551.886,-0.23,53.6,159.3890808,11.8427484,3.5295826084244832,EPIC 248847494,10.765,10.148,0.5256714663883728,0.17915470870390085,0.1656749317426207,0.056774977
Kepler-1647 b,59.74922,1.059,1.51968,222.17825852938537,90.097,0.0581,2.7205,1107.5923,1.79,1.22,6210,1212.45,-0.14,23.43301554027385,298.150057,40.6561751,4.018721396018095,Kepler-1647,12.376,12.007,0.2892341660016842,0.1754080483879809,0.005520733,0.000948605
Kepler-167 e,58.99247,0.906,1.01,134,89.972,0.29,1.883,1071.23205,0.75,0.78,4884,341.908,0.02,16.56413183581117,292.6585253,38.3455558,4.580039703210214,Kepler-167,12.446,11.832,0.4132183285070506,0.14000973647615664,0.006118303,0.005419132
Kepler-1654 b,66.91972,0.819,0.5,206,89.982,0.26,2.026,1047.8356,1.18,1.01,5597,568.117,-0.088,22.992,282.1856949,44.4344617,4.298624986473525,Kepler-1654,12.281,11.922,0.33805718158362763,0.169050442,0.010300086295728452,0.002565277
Kepler-1704 b,71.28537,1.066,4.16,254,89,0.92,2.027,988.88112,1.7,1.13,5746,835.455,0.196,6.007,291.2012559,51.1442437,4.030248228030005,Kepler-1704,12.138,11.792,0.3245004073527355,0.16931724819868532,0.007471276,0.002093458
GJ 414 A c,23.09657,0.749,0.16937,125,,0.105,1.4,749.83,0.68,0.65,4120,11.8893,0.243,,167.7745044,30.4451688,4.5859631585335165,GJ 414 A,5.764,4.979,0.3456002667126767,0.19121285067009136,0.075168745,0.054844531
KIC 9663113 b,65.26643,0.886,,264,89.7,0,1.4062,572.376632,1.3,1.13,6226,1594.74,0,24.42,297.0454037,46.3286653,4.263259366172879,KIC 9663113,12.823,12.502,0.28369921111412216,0.18435553925437967,0.03161222,0.023728473781255165
TOI-4600 c,84.83213,0.841,9.27,191,89.9,0.21,1.152,482.8191,0.81,0.89,5170,216.056,0.16,11.14,258.4503674,64.5661727,4.5704875961907465,TOI-4600,11.075,10.571,0.38433164217040255,0.15691066117480532,0.012914982880249842,0.004790701
Kepler-1981 b,60.37396,0.84,,390,89.78,0,1.3292,453.54212,3.01,1.52,5874,659.395,0.12,17.026,287.9754691,38.7402988,3.662778224060219,Kepler-1981,12.334,11.951,0.34353591971929365,0.17900065575731336,0.090007963,0.043196434
KIC 5437945 b,62.12043,0.54,,308,89.84,0,1.1455,440.7843755,1.39,1.03,6340,1274.01,-0.38,21.693,288.4749028,40.6512848,4.164875251500115,KIC 5437945,12.667,12.367,0.27476999625097026,0.1810138811279967,0.01770825,0.006014948
Kepler-849 b,69.00121,0.721,0.94,363,89.923,0.078,1.137,394.62508,1.82,1.26,5950,822.134,0.145,24.01,290.8517961,48.5213243,4.018295396450546,Kepler-849,11.842,11.527,0.3101226280335327,0.1718752120901882,0.010942902463171564,0.001945551
KOI-351 h,71.22769,1.004,,294,89.99,0,0.9654,331.5972732,1.2,1.09,5970,848.254,0.1,14.404,284.4334642,49.3051239,4.317131633148508,KOI-351,12.79,12.482,0.30526401893028193,0.1751289487688266,0.012495566443254665,0.003296594
HIP 41378 f,-8.84499,0.91,1,nan,89.98,0,,324,1.4,1.15,6199,106.289,-0.11,18.998,126.6158279,10.0803708,4.206509396300269,HIP 41378,7.982,7.722,0.281711552,0.18020768402858953,0.007688584,0.003540524
Kepler-1746 b,63.70002,0.797,,310,89.86,0,0.9453,321.2124365,1.29,1.09,6018,979.541,0.06,4.012,288.3203979,42.2613874,4.254314704645259,Kepler-1746,12.495,12.232,0.3084005422612164,0.1791690420161744,0.041472404749272745,0.029016593886366873
Kepler-511 b,69.84745,0.822,,332,89.81,0,0.8589,296.6375817,1.42,0.96,5866,651.999,-0.2,16.425,282.9455384,47.5749181,4.115762171576589,Kepler-511,11.534,11.187,0.31538900140896475,0.1722244327211147,0.008554663,0.002896264
KOI-1783.02,67.9572,0.485,,321,89.65,0,0.8453,284.063137,1.34,1,5791,865.73,0.02,8.297,289.3414629,46.988155,4.183858030573518,KOI-1783,12.917,12.621,0.3186180667177055,0.17202759052093305,0.008616431,0.002487874
